Site Name	Program Type	Lattitude	Longitude	Address Line1	Address Line2	City	State	Zip	County	OneDay	OpenDate	CloseDate	Active	Active Date	OpenToPublic	Appointment	ApptPhone	EFile	StateEFile	SERPLanguage	Days & Hours of Operation	Additional Info
Valdosta Senior Center	AARP 	30.8573288	-83.2697488	1360 E Park Ave		Valdosta	GA	31602	Lowndes	FALSE	2/3/15 0:00	4/14/15 0:00	TRUE	10/1/14 0:00	FALSE	TRUE	2292595469	TRUE	TRUE	English	Tues 9:00 am - 4:00 pm	 Info: SENIORS 50+ (No Children) Must call for appointment 229-259-5469
Frank Bailey Senior Center	AARP 	33.585723	-84.422866	6213 Riverdale Rd		Riverdale	GA	30274	Clayton	FALSE	2/4/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	FALSE	TRUE	6784795505	TRUE	TRUE	English	"Wed, Fri 9:00 am - 4:00 pm"	 Info: Open Wed and Friday. Call Center for an appointment Must be 55 or Older
Air Force Moody Air Force Base	Military VITA 	32.6483231	-83.4445343	23 Wg/Ja 23 Flying Tiger Way	Suite 241	Moody Afb	GA	31699	Lowndes	FALSE	1/20/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	FALSE	TRUE	2292573414	TRUE	TRUE	English		
Marine Corp Logistics Base	Military VITA	31.5507133	-84.0638624	814 Radford Blvd	"SJA - Bldg 3500, Room 507"	Albany	GA	31704	Dougherty	FALSE	1/12/15 0:00	4/15/15 0:00	TRUE	12/23/14 0:00	FALSE	TRUE	2296396186	TRUE	TRUE	English		
Army Fort Stewart	Military VITA	31.864281	-81.6092543	60 McNeely Road		Fort Stewart	GA	31314	Liberty	FALSE	1/26/15 0:00	10/15/15 0:00	TRUE	12/31/14 0:00	FALSE	FALSE	9127671040	TRUE	TRUE	English	Mon - Fri 8:00 am - 5:00 pm	
Army Hunter AA Legal Tax Center	Military VITA	32.0809097	-81.0911865	638 Horace Emett Wilson Blvd	Ste. 101	Savannah	GA	31409	Chatham	FALSE	1/26/15 0:00	10/15/15 0:00	TRUE	12/31/14 0:00	FALSE	FALSE	9123525116	TRUE	TRUE	English	"Mon - Fri 8:00 am - 11:45 am, 12:45 - 5:00 pm, Sat 9:00 am - 1:00 pm "	
Air Force Robins Air Force Base	Military VITA	32.6126696	-83.5965465	215 Page Road Suite 186	880 11th St (Bldg 995) Robins AFB	Warner Robins	GA	31098	Houston	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	12/31/14 0:00	FALSE	TRUE	4782220549	TRUE	TRUE	English		
Army Fort Gordon Army	Military VITA	33.424881	-82.145141	419 B Street	"The Courtyard, Bldg. 29718"	Fort Gordon	GA	30905	Richmond	FALSE	1/28/15 0:00	4/15/15 0:00	TRUE	1/14/15 0:00	FALSE	FALSE		TRUE	TRUE	English	"Tue 10:00 am - 7:00 pm, Wed - Fri 9:00 am - 6:00 pm, Sat 9:00 am - 2:00 pm"	
Army Fort Benning Tax Center	Military VITA	32.3483326	-84.9830414	6450 Way Ave	Bldg 2839 JAG Attn: Tax OIC 3rd Floor	Fort Benning	GA	31905	Muscogee	FALSE	1/30/15 0:00	4/30/15 0:00	TRUE	1/14/15 0:00	FALSE	FALSE		TRUE	TRUE	"English,Spanish"	Mon - Fri 9:00 am - 5:00 pm	
Clarkston Library	AARP 	33.804924	-84.238594	951 N Indian Creek Dr		Clarkston	GA	30021	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4045087175	TRUE	TRUE	English	Mon - Tues 12:00 pm - 04:00 pm	"Info: First come; first served. ONLY the 1st 20 clients per day can count on being served before closing. The library will be closed on Presidents' Day, 2/16/15. Because of this, AARP Tax-Aide will also"
Dorothy C. Benson Senior Complex	AARP 	33.9292603	-84.3775024	6500 Vernon Woods Dr Ne		Atlanta	GA	30328	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4046134900	TRUE	TRUE	English	"Mon, Wed 10:00 am - 2:00 pm"	
Gwinnett Technical College	AARP 	33.9634933	-84.0676804	5150 Sugarloaf Pkwy Bldg 700		Lawrenceville	GA	30043	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7709627580	TRUE	TRUE	English	"Mon - Thurs  1:00 pm - 4:00 pm, Fri 11:00 am - 2:00 pm "	"Info: Bldg 700 is on back of campus. Photo ID, SS cards for all dependents required Bring previous year tax return. Blank check required for direct d"
Lilburn Cooperative Ministry	AARP 	33.8438339	-84.1288605	5329 Five Forks Trickum Rd Sw		Lilburn	GA	30047	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7709318333	TRUE	FALSE	English	"Tues, Thurs 9:00 am - 12:00 pm"	 Info: Photo ID and SS card (including all dependants) required for service. Blank check required for auto deposit Please bring last years tax return
